ISSN,Título,Área de Avaliação,Classificação
1361-8415,MEDICAL IMAGE ANALYSIS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1
2041-1723,NATURE COMMUNICATIONS,CIÊNCIA DA COMPUTAÇÃO,A1
0899-7667,NEURAL COMPUTATION,CIÊNCIA DA COMPUTAÇÃO,A1
0893-6080,NEURAL NETWORKS,CIÊNCIA DA COMPUTAÇÃO,A1
0925-2312,NEUROCOMPUTING (AMSTERDAM),CIÊNCIA DA COMPUTAÇÃO,A1
1539-2791,NEUROINFORMATICS (TOTOWA),CIÊNCIA DA COMPUTAÇÃO,A1
0031-3203,PATTERN RECOGNITION,CIÊNCIA DA COMPUTAÇÃO,A1
0167-8655,PATTERN RECOGNITION LETTERS,CIÊNCIA DA COMPUTAÇÃO,A1
1553-7358,PLOS COMPUTATIONAL BIOLOGY (ONLINE),CIÊNCIA DA COMPUTAÇÃO,A1
0018-9219,PROCEEDINGS OF THE IEEE,CIÊNCIA DA COMPUTAÇÃO,A1
0027-8424,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,CIÊNCIA DA COMPUTAÇÃO,A1
0921-8890,ROBOTICS AND AUTONOMOUS SYSTEMS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1
2045-2322,SCIENTIFIC REPORTS,CIÊNCIA DA COMPUTAÇÃO,A1
2045-2322,SCIENTIFIC REPORTS,CIÊNCIA DA COMPUTAÇÃO,A1
1588-2861,SCIENTOMETRICS (ONLINE),CIÊNCIA DA COMPUTAÇÃO,A1
0138-9130,SCIENTOMETRICS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1
1424-8220,SENSORS (BASEL),CIÊNCIA DA COMPUTAÇÃO,A1
0363-0129,SIAM JOURNAL ON CONTROL AND OPTIMIZATION (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1
1095-7189,SIAM JOURNAL ON OPTIMIZATION,CIÊNCIA DA COMPUTAÇÃO,A1
1052-6234,SIAM JOURNAL ON OPTIMIZATION (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1
0036-1445,SIAM REVIEW (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1
0163-5808,SIGMOD RECORD,CIÊNCIA DA COMPUTAÇÃO,A1
0165-1684,SIGNAL PROCESSING (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1
1615-147X,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1
2210-6502,SWARM AND EVOLUTIONARY COMPUTATION,CIÊNCIA DA COMPUTAÇÃO,A1
1076-9757,THE JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1
0304-3975,THEORETICAL COMPUTER SCIENCE,CIÊNCIA DA COMPUTAÇÃO,A1
0734-2071,ACM TRANSACTIONS ON COMPUTER SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,A2
1073-0516,ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,CIÊNCIA DA COMPUTAÇÃO,A2
0362-5915,ACM TRANSACTIONS ON DATABASE SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,A2
